,OBJECTID,UnitId,GeographicArea,Gacc,WildlandRole,UnitType,Department,Agency,Parent,Country,State,Code,Name
0,1,USAKCAN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CAN,Calista Regional Native Corporation
1,2,USAKCEKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CEKX,Central Emergency Services
2,3,USAKCFFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CFFX,City Fairbanks Fire Department
3,4,USAKCFMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CFMX,Central Mat-Su Fire Department
4,5,USAKCFQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,CFQ,Clear Air Force Station
5,6,USAKCGF,AK,USAKACC,Incident Host Geographic,US Federal,USDA,FS,,US,AK,CGF,Chugach National Forest
6,7,USAKCGFC,AK,USAKACC,Dispatch/Coordination Center,US Federal,USDA,FS,,US,AK,CGFC,Chugach National Forest Dispatch
7,8,USAKCGFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CGFX,Chena Goldstream Fire & Rescue
8,9,USAKCGKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CGKX,US Coast Guard - Kodiak
9,10,USAKCGMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CGMX,Chigiak
10,11,USAKCHCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CHCX,Chistochina
11,12,USAKCHN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CHN,Chugach Regional Native Corporation
12,13,USAKCIN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,CIN,Cook Inlet Regional Native Corporation
13,14,USAKCLKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CLKX,Cooper Landing Volunteer Fire Department
14,15,USAKCLMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CLMX,Caswell Lake Fire Department
15,16,USAKCNCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CNCX,Chitina Volunteer Fire Department
16,17,USAKCNFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CNFX,City Nenana Volunteer Fire Department
17,18,USAKCOCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,COCX,Cordova Volunteer Fire Department
18,19,USAKCRCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CRCX,Crystal Creek Volunteer Fire Department
19,20,USAKCRS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,CRS,Valdez-Copper River Area Forestry
20,21,USAKCRSC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,CRSC,Valdez-Copper River Area Forestry Dispatch
21,22,USAKCVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,CVFX,Cantwell Volunteer Fire Department
22,23,USAKCYD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,CYD,Central Yukon Field Office
23,24,USAKDAS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,DAS,Delta Area Forestry
24,25,USAKDASC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,DASC,Delta Area Forestry Dispatch
25,26,USAKDBFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DBFX,Denali Borough
26,27,USAKDEDX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DEDX,Deltana Volunteer Fire Department
27,28,USAKDEP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,DEP,Denali National Park & Preserve
28,29,USAKDFS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,DFS,State Forestry Resources
29,30,USAKDJDX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,DJDX,City Delta Junction Fire Department
30,31,USAKDNS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DNS,AK Department of Natural Resources
31,32,USAKDPS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DPS,AK Department of Public Safety
32,33,USAKDTS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,DTS,AK Department of Transportation & Public Facilities
33,34,USAKDYN,AK,USAKACC,Resource Provider Only,Non-Government,NG,ANC,,US,AK,DYN,Doyon Regional Native Corporation
34,35,USAKEAKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,EAKX,Eastland Volunteer Fire Department
35,36,USAKEAPG,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,EAPG,Eastern Alaska Park Group
36,37,USAKEID,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,EID,Eastern Interior Field Office
37,38,USAKEIQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,EIQ,Eielson Air Force Base
38,39,USAKELQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USAF,,US,AK,ELQ,Elmendorf Air Force Base
39,40,USAKEVFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,EVFX,Ester Volunteer Fire Department
40,41,USAKFAS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,FAS,Fairbanks Area Forestry
41,42,USAKFASC,AK,USAKACC,Dispatch/Coordination Center,US State,AK,DVF,,US,AK,FASC,Fairbanks Area Forestry Dispatch
42,43,USAKFBD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,FBD,Fairbanks District Office
43,44,USAKFGQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USA,,US,AK,FGQ,Space & Missle Defense Fort Greely
44,45,USAKFGS,AK,USAKACC,Incident Host Geographic,US State,AK,,,US,AK,FGS,AK Department of Fish & Game
45,46,USAKFNFX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,FNFX,Fairbanks Northstar Borough
46,47,USAKFRQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USA,,US,AK,FRQ,Fort Richardson
47,48,USAKFWQ,AK,USAKACC,Incident Host Geographic,US Federal,DOD,USA,,US,AK,FWQ,Fort Wainwright
48,49,USAKGACX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GACX,Gakona Volunteer Fire Department
49,50,USAKGAD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,GAD,Alaska Fire Service - Galena Zone
50,51,USAKGADC,AK,USAKACC,Dispatch/Coordination Center,US Federal,DOI,BLM,,US,AK,GADC,Alaska Fire Service - Galena Zone Dispatch
51,52,USAKGAP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,GAP,Gates of the Arctic National Park & Preserve
52,53,USAKGBP,AK,USAKACC,Incident Host Geographic,US Federal,DOI,NPS,,US,AK,GBP,Glacier Bay National Park & Preserve
53,54,USAKGDMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GDMX,Girdwood Volunteer Fire Department
54,55,USAKGLD,AK,USAKACC,Incident Host Geographic,US Federal,DOI,BLM,,US,AK,GLD,Glenallen Field Office
55,56,USAKGPMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GPMX,Greater Palmer Fire Department
56,57,USAKGRCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GRCX,GlennRich Fire & Rescue
57,58,USAKGVCX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,GVCX,Gulkana Village Volunteer Fire Department
58,59,USAKHAHX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HAHX,Haines Volunteer Fire Department
59,60,USAKHNS,AK,USAKACC,Incident Host Geographic,US State,AK,DVF,,US,AK,HNS,Haines Area Forestry
60,61,USAKHOKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HOKX,Homer Volunteer Fire Department
61,62,USAKHOSX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HOSX,Hoonah Fire Department
62,63,USAKHSKX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HSKX,Hope-Sunrise Volunteer Fire Department
63,64,USAKHSMX,AK,USAKACC,Incident Host Geographic,US County/Local,AK,C&L,,US,AK,HSMX,Houston Volunteer Fire Department
